year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1995,5,1,France,Western Europe,Ile-de-France,Paris,Unknown,Unknown,Tourists,1.0,0.0,0,809080062.1912892,True
1995,5,15,Mexico,North America,Tabasco,Unknown,Unknown,Unknown,Police,0.0,1.0,0,1325602472.7092946,True
1995,5,21,Turkey,Middle East & North Africa,Antalya,Alanya,Hostage Taking (Kidnapping),Unknown,Tourists,2.0,1.0,0,194490841.78775868,True
1995,5,21,Brazil,South America,Unknown,Unknown,Unarmed Assault,Melee,Government (General),0.0,2.0,0,368508962.4925955,True
1995,5,27,Burundi,Sub-Saharan Africa,Unknown,Unknown,Unknown,Unknown,Private Citizens & Property,3.0,1.0,1,191419933.72770137,True
1995,6,3,Australia,Australasia & Oceania,Queensland,Townsville,Unknown,Unknown,Private Citizens & Property,0.0,0.0,1,2445103712.5826073,True
1995,6,7,Russia,Eastern Europe,Buryatia,Ulan-Ude,Hijacking,Firearms,Airports & Aircraft,0.0,0.0,0,1994319222.6271462,True
1995,6,11,Colombia,South America,Caldas,Pensilvania,Hostage Taking (Kidnapping),Firearms,Government (General),0.0,3.0,0,379257140.9698309,True
1995,6,17,Australia,Australasia & Oceania,Western Australia,Perth,Facility/Infrastructure Attack,Incendiary,Government (Diplomatic),0.0,0.0,1,666857083.374963,True
1995,6,21,Japan,East Asia,Hokkaido,Hakodate,Hijacking,Melee,Airports & Aircraft,0.0,0.0,0,484467073.5524151,True
1995,6,22,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Military,2.0,0.0,0,517324646.3951465,True
1995,6,25,Tajikistan,Central Asia,Districts of Republican Subordination,Kofarnikhon,Assassination,Firearms,Military,3.0,0.0,0,583348800.4412764,True
1995,7,1,Russia,Eastern Europe,Sakha,Yakutsk,Hijacking,Unknown,Airports & Aircraft,0.0,0.0,0,1994319222.6271462,True
1995,7,6,Haiti,Central America & Caribbean,Nord,Cap-Haitien,Unknown,Unknown,Private Citizens & Property,1.0,1.0,1,311510603.0290843,True
